review_text,rating
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",3
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
"Average product, nothing stands out.",4
